"","cluster","variable","value"
"1",1,"Animals",0
"2",2,"Animals",0
"3",3,"Animals",0
"4",4,"Animals",0
"5",5,"Animals",0
"6",6,"Animals",0
"7",7,"Animals",0
"8",8,"Animals",0
"9",9,"Animals",0
"10",10,"Animals",0
"11",11,"Animals",0
"12",12,"Animals",0
"13",13,"Animals",0
"14",14,"Animals",6
"15",15,"Animals",0
"16",16,"Animals",0
"17",17,"Animals",0
"18",18,"Animals",0
"19",19,"Animals",0
"20",20,"Animals",0
"21",21,"Animals",0
"22",22,"Animals",0
"23",23,"Animals",0
"24",24,"Animals",0
"25",25,"Animals",0
"26",1,"Celebrities",0
"27",2,"Celebrities",0
"28",3,"Celebrities",0
"29",4,"Celebrities",0
"30",5,"Celebrities",0
"31",6,"Celebrities",0
"32",7,"Celebrities",0
"33",8,"Celebrities",0
"34",9,"Celebrities",0
"35",10,"Celebrities",0
"36",11,"Celebrities",0
"37",12,"Celebrities",0
"38",13,"Celebrities",0
"39",14,"Celebrities",0
"40",15,"Celebrities",1
"41",16,"Celebrities",3
"42",17,"Celebrities",6
"43",18,"Celebrities",6
"44",19,"Celebrities",1
"45",20,"Celebrities",0
"46",21,"Celebrities",0
"47",22,"Celebrities",2
"48",23,"Celebrities",0
"49",24,"Celebrities",0
"50",25,"Celebrities",0
"51",1,"DIY",0
"52",2,"DIY",0
"53",3,"DIY",0
"54",4,"DIY",0
"55",5,"DIY",0
"56",6,"DIY",0
"57",7,"DIY",0
"58",8,"DIY",0
"59",9,"DIY",0
"60",10,"DIY",0
"61",11,"DIY",3
"62",12,"DIY",0
"63",13,"DIY",0
"64",14,"DIY",0
"65",15,"DIY",0
"66",16,"DIY",0
"67",17,"DIY",0
"68",18,"DIY",0
"69",19,"DIY",0
"70",20,"DIY",0
"71",21,"DIY",0
"72",22,"DIY",0
"73",23,"DIY",0
"74",24,"DIY",0
"75",25,"DIY",0
"76",1,"Entertainment",2
"77",2,"Entertainment",2
"78",3,"Entertainment",2
"79",4,"Entertainment",1
"80",5,"Entertainment",1
"81",6,"Entertainment",4
"82",7,"Entertainment",1
"83",8,"Entertainment",1
"84",9,"Entertainment",2
"85",10,"Entertainment",2
"86",11,"Entertainment",1
"87",12,"Entertainment",2
"88",13,"Entertainment",1
"89",14,"Entertainment",0
"90",15,"Entertainment",0
"91",16,"Entertainment",0
"92",17,"Entertainment",0
"93",18,"Entertainment",0
"94",19,"Entertainment",1
"95",20,"Entertainment",4
"96",21,"Entertainment",1
"97",22,"Entertainment",1
"98",23,"Entertainment",3
"99",24,"Entertainment",6
"100",25,"Entertainment",1
"101",1,"History",0
