Day Index,Users
01/01/2016,1052945
02/01/2016,1640359
03/01/2016,2098761
04/01/2016,2802433
05/01/2016,2344585
06/01/2016,1941309
07/01/2016,1952845
08/01/2016,2911020
09/01/2016,2317884
10/01/2016,2527735
11/01/2016,3072904
12/01/2016,1373052
13/01/2016,1056906
14/01/2016,1134647
15/01/2016,1226873
16/01/2016,1916994
17/01/2016,2999772
18/01/2016,2645698
19/01/2016,1476934
20/01/2016,1198625
21/01/2016,1192227
22/01/2016,1581968
23/01/2016,2453934
24/01/2016,3849572
25/01/2016,2579884
26/01/2016,1962204
27/01/2016,2217184
28/01/2016,2031301
29/01/2016,1625039
30/01/2016,1626594
31/01/2016,1335985
01/02/2016,1492822
02/02/2016,1923424
03/02/2016,1998176
04/02/2016,1525544
05/02/2016,1436648
06/02/2016,1691252
07/02/2016,2058089
08/02/2016,1893984
09/02/2016,1733792
10/02/2016,1577850
11/02/2016,1584503
12/02/2016,1588263
13/02/2016,1773103
14/02/2016,2906361
15/02/2016,3330327
16/02/2016,2635371
17/02/2016,1911222
18/02/2016,1631247
19/02/2016,1393134
20/02/2016,1526398
21/02/2016,1625186
22/02/2016,2170124
23/02/2016,2763105
24/02/2016,3059050
25/02/2016,3591848
26/02/2016,3967430
27/02/2016,4553378
28/02/2016,4518937
29/02/2016,3598654
01/03/2016,3935155
02/03/2016,3676072
03/03/2016,4282019
04/03/2016,4347843
05/03/2016,4566061
06/03/2016,4475625
07/03/2016,4843105
08/03/2016,4070264
09/03/2016,2392679
10/03/2016,2175373
11/03/2016,1797336
12/03/2016,2230313
13/03/2016,2559361
14/03/2016,2537287
15/03/2016,2305065
16/03/2016,2049893
17/03/2016,2062862
18/03/2016,1726924
19/03/2016,2041260
20/03/2016,2500398
21/03/2016,1908974
22/03/2016,1058859
23/03/2016,1273798
24/03/2016,1551873
25/03/2016,3037773
26/03/2016,5126021
27/03/2016,5582866
28/03/2016,5866461
29/03/2016,4065732
30/03/2016,2369727
31/03/2016,1777394
01/04/2016,1416980
02/04/2016,1521385
03/04/2016,1508050
04/04/2016,1787351
05/04/2016,1616511
06/04/2016,1441223
07/04/2016,1427349
08/04/2016,1552452
09/04/2016,1776612
10/04/2016,1919349
11/04/2016,1906552
12/04/2016,1693364
13/04/2016,1372669
14/04/2016,1500644
15/04/2016,2045701
16/04/2016,1958285
17/04/2016,2094016
18/04/2016,2818041
19/04/2016,1078202
20/04/2016,2567252
21/04/2016,3191681
22/04/2016,3376405
23/04/2016,3607015
24/04/2016,3793112
25/04/2016,4503694
26/04/2016,3428879
27/04/2016,1210881
28/04/2016,377307
29/04/2016,935962
30/04/2016,1431414
01/05/2016,1362775
02/05/2016,1876756
03/05/2016,1901099
04/05/2016,1363059
05/05/2016,1172484
06/05/2016,1040245
07/05/2016,1056480
08/05/2016,1270324
09/05/2016,1480688
10/05/2016,1820995
11/05/2016,1948268
12/05/2016,2056914
13/05/2016,1904202
14/05/2016,1885298
15/05/2016,1943969
16/05/2016,2078998
17/05/2016,2278093
18/05/2016,1784845
19/05/2016,1947593
20/05/2016,2289988
21/05/2016,2270173
22/05/2016,2507283
23/05/2016,2817518
24/05/2016,2670665
25/05/2016,1868332
26/05/2016,1495479
27/05/2016,1272183
28/05/2016,1228981
29/05/2016,1123937
30/05/2016,1259217
31/05/2016,1467450
01/06/2016,2217519
02/06/2016,2207107
03/06/2016,1911536
04/06/2016,1168813
05/06/2016,1354697
06/06/2016,1329681
07/06/2016,1430011
08/06/2016,1498611
09/06/2016,1659770
10/06/2016,1486983
11/06/2016,1413431
12/06/2016,1268194
13/06/2016,1181867
14/06/2016,1161310
15/06/2016,1371150
16/06/2016,1473397
17/06/2016,1490067
18/06/2016,1755598
19/06/2016,988988
20/06/2016,877158
21/06/2016,1367626
22/06/2016,1461002
23/06/2016,1576046
24/06/2016,1294567
25/06/2016,1335501
26/06/2016,1355012
27/06/2016,1548020
28/06/2016,1264964
29/06/2016,1500097
30/06/2016,1429462
01/07/2016,1244731
02/07/2016,1133787
03/07/2016,1114610
04/07/2016,944216
05/07/2016,994320
06/07/2016,1088987
07/07/2016,1324887
08/07/2016,1301120
09/07/2016,1174555
10/07/2016,1282951
11/07/2016,1401011
12/07/2016,1480365
13/07/2016,1449967
14/07/2016,1508048
15/07/2016,1326902
16/07/2016,1249668
17/07/2016,1164604
18/07/2016,1148627
19/07/2016,1253166
20/07/2016,1323613
